縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
02,宜蘭縣,員山鄉,024520,縣立內城國中(小),2,2,2,16,4,24,9,11,14,18,13,6,11,1,7
02,宜蘭縣,壯圍鄉,024521,縣立壯圍國中,5,4,5,43,31,51,43,61,43,64,56,11,28,3,5
02,宜蘭縣,大同鄉,024523,縣立大同國中,1,1,1,3,10,5,12,6,10,7,10,10,5,1,2
02,宜蘭縣,宜蘭市,024524,縣立凱旋國中,6,6,6,74,88,86,81,79,70,70,86,13,33,1,7
02,宜蘭縣,頭城鎮,024526,縣立人文國中(小),1,1,2,9,8,12,4,16,11,6,12,7,5,0,0
02,宜蘭縣,蘇澳鎮,024527,縣立岳明國中(小),1,0,0,9,10,0,0,0,0,0,0,5,1,3,4
03,桃園市,龍潭區,031301,私立桃園市懷恩高中附設國中部,1,0,1,13,2,0,0,7,0,7,4,0,0,0,0
03,桃園市,平鎮區,031310,私立六和高中附設國中部,11,11,11,277,239,269,227,249,229,250,225,0,0,0,0
03,桃園市,平鎮區,031311,私立復旦高中附設國中部,12,12,12,308,257,307,257,319,246,315,246,0,0,0,0
03,桃園市,楊梅區,031312,私立治平高中附設國中部,7,8,7,185,134,190,143,183,133,214,144,0,0,0,0
03,桃園市,桃園區,031313,私立振聲高中附設國中部,9,9,9,233,199,206,227,227,200,210,221,0,0,0,0
03,桃園市,新屋區,031319,私立清華高中附設國中部,1,1,1,3,7,2,5,13,3,6,8,0,0,0,0
03,桃園市,桃園區,031320,私立新興高中附設國中部,8,8,8,185,169,171,159,163,165,177,143,0,0,0,0
03,桃園市,楊梅區,031326,私立大華高中附設國中部,4,5,5,95,72,115,110,95,81,106,59,0,0,0,0
03,桃園市,中壢區,031502,私立有得國中(小),3,3,3,42,43,44,34,47,40,42,35,9,13,5,7
03,桃園市,桃園區,031503,私立康萊爾國中(小),1,1,1,24,14,11,18,10,8,20,5,3,4,0,2
03,桃園市,觀音區,034332,市立觀音高中附設國中部,9,8,8,107,77,114,106,110,107,107,116,0,0,0,0
03,桃園市,新屋區,034335,市立新屋高中附設國中部,8,10,10,110,100,135,116,123,118,130,113,0,0,0,0
03,桃園市,八德區,034347,市立永豐高中附設國中部,12,13,13,148,153,151,169,171,184,181,183,0,0,0,0
03,桃園市,復興區,034348,市立羅浮高中附設國中,3,3,4,33,31,30,26,23,20,23,33,0,0,0,0
03,桃園市,桃園區,034501,市立桃園國中,14,16,17,168,189,197,197,230,197,176,200,36,94,3,10
03,桃園市,桃園區,034502,市立青溪國中,14,17,16,195,195,251,224,257,195,230,217,36,87,0,13
03,桃園市,桃園區,034503,市立文昌國中,12,14,14,185,138,214,193,204,162,213,172,33,79,2,11
03,桃園市,桃園區,034504,市立建國國中,21,23,24,282,288,358,310,389,307,331,323,60,124,3,12
03,桃園市,桃園區,034505,市立中興國中,17,19,20,212,242,248,252,297,257,271,287,45,100,3,11
03,桃園市,蘆竹區,034506,市立南崁國中,17,19,22,231,205,235,264,278,268,282,236,51,100,4,11
03,桃園市,蘆竹區,034507,市立山腳國中,4,5,5,49,39,63,53,51,58,61,44,16,20,1,5
03,桃園市,蘆竹區,034508,市立大竹國中,12,11,13,171,153,179,141,196,175,191,163,24,69,2,9
03,桃園市,大園區,034509,市立大園國中,13,17,16,179,163,218,184,226,212,236,180,41,76,4,10
03,桃園市,大園區,034510,市立竹圍國中,3,4,6,31,26,43,49,82,57,64,66,17,17,1,6
03,桃園市,大溪區,034511,市立大溪國中,8,9,11,101,108,115,110,126,126,126,119,25,46,0,8
03,桃園市,大溪區,034513,市立仁和國中,16,18,19,250,180,270,209,269,235,266,209,36,92,5,9
03,桃園市,龜山區,034515,市立大崗國中,12,12,12,156,129,183,137,169,133,144,147,30,64,2,9
